Country,Confirmed,Deaths,Continent
China,"99,142","4,636",Asia
Jordan,"975,956","11,761",Asia
Kazakhstan,"975,150","12,769",Asia
Greece,"966,221","18,595",Europe
Cuba,"963,090","8,309",North America
Morocco,"950,591","14,788",Africa
Maldives,"92,211",254,Asia
Jamaica,"91,469","2,410",North America
Luxembourg,"90,774",880,Europe
Gambia,"9,992",342,Africa
Russia,"9,801,613","281,278",Europe
MS Zaandam,9,2,
Georgia,"865,293","12,344",Asia
Saint Pierre & Miquelon,86,0,North America
Falkland Islands,83,0,South America
Nepal,"822,592","11,541",Asia
Turkey,"8,901,117","77,830",Asia
Palau,8,0,Australia/Oceania
Laos,"79,833",207,Asia
Macao,77,0,Asia
United Arab Emirates,"742,328","2,148",Asia
Trinidad and Tobago,"74,533","2,236",North America
Senegal,"74,024","1,886",Africa
Slovakia,"729,475","14,826",Europe
Tunisia,"718,278","25,398",Africa
Bulgaria,"702,454","28,805",Europe
France,"7,917,264","119,535",Europe
Cayman Islands,"7,529",7,North America
Eritrea,"7,458",61,Africa
Gibraltar,"7,371",99,Europe
Niger,"7,080",261,Africa
Lebanon,"678,801","8,775",Asia
Belarus,"663,813","5,162",Europe
Angola,"65,244","1,735",Africa
Croatia,"631,037","11,218",Europe
Guatemala,"619,542","15,980",North America
Malawi,"61,981","2,307",Africa
Côte d'Ivoire,"61,817",705,Africa
Réunion,"61,188",384,Africa
Guinea-Bissau,"6,444",149,Africa
Sierra Leone,"6,402",121,Africa
Germany,"6,179,839","103,604",Europe
Iran,"6,134,465","130,200",Asia
Dominica,"6,120",39,North America
Vanuatu,6,1,Australia/Oceania
Azerbaijan,"596,388","7,967",Asia
Ireland,"594,250","5,707",Europe
DR Congo,"58,319","1,107",Africa
Sri Lanka,"567,682","14,461",Asia
Costa Rica,"567,383","7,312",North America
Guadeloupe,"55,284",748,North America
Saudi Arabia,"549,912","8,844",Asia
Bolivia,"542,859","19,215",South America
Ecuador,"526,870","33,250",South America
Myanmar,"524,407","19,141",Asia
Fiji,"52,543",697,Australia/Oceania
Denmark,"509,111","2,946",Europe
Suriname,"50,993","1,170",South America
San Marino,"5,979",93,Europe
Grenada,"5,907",200,North America
Liberia,"5,824",287,Africa
Bermuda,"5,751",106,North America
Chad,"5,701",181,Africa
St. Vincent & Grenadines,"5,579",74,North America
Argentina,"5,339,382","116,643",South America
Spain,"5,202,958","88,159",Europe
Italy,"5,109,082","134,195",Europe
Colombia,"5,078,987","128,733",South America
United States,"49,958,729","808,730",North America
Syria,"48,538","2,772",Asia
Lithuania,"479,839","6,847",Europe
Panama,"478,831","7,373",North America
South Korea,"473,034","3,852",Asia
Eswatini,"47,504","1,248",Africa
Paraguay,"463,315","16,477",South America
French Polynesia,"46,323",636,Australia/Oceania
French Guiana,"46,142",328,South America
Wallis & Futuna,454,7,Australia/Oceania
Martinique,"45,501",718,North America
Madagascar,"44,800",972,Africa
Montserrat,44,1,North America
Venezuela,"434,133","5,186",South America
State of Palestine,"431,863","4,549",Asia
Slovenia,"430,064","5,303",Europe
Sudan,"43,489","3,164",Africa
Kuwait,"413,491","2,465",Asia
Dominican Republic,"408,516","4,212",North America
Uruguay,"400,821","6,132",South America
Liechtenstein,"4,893",62,Europe
Sint Maarten,"4,598",75,North America
Comoros,"4,542",150,Africa
Indonesia,"4,257,685","143,867",Asia
Antigua and Barbuda,"4,147",117,North America
Marshall Islands,4,0,Australia/Oceania
Malta,"39,934",468,Europe
Mauritania,"39,558",840,Africa
Mongolia,"383,543","2,016",Asia
Cabo Verde,"38,450",351,Africa
Guyana,"38,118","1,004",South America
Honduras,"378,251","10,413",North America
