Country,Latitude,Longitude,Confirmed,Deaths
Afghanistan,33.93911,67.709953,155540,7228
Albania,41.1533,20.1683,175163,2777
Algeria,28.0339,1.6596,204695,5855
Andorra,42.5063,1.5218,15307,130
Angola,-11.2027,17.8739,61580,1629
Antigua and Barbuda,17.0608,-61.7964,3750,93
Argentina,-38.4161,-63.6167,5266275,115491
Armenia,40.0691,45.0382,272957,5575
Australia,-35.4735,149.0124,1386,9
Australia,-33.8688,151.2093,69552,498
Australia,-12.4634,130.8456,215,0
Australia,-27.4698,153.0251,2067,7
Australia,-34.9285,138.6007,913,4
Australia,-42.8821,147.3272,236,13
Australia,-37.8136,144.9631,55936,921
Australia,-31.9505,115.8605,1110,9
Austria,47.5162,14.5501,762538,11106
Azerbaijan,40.1431,47.5769,492790,6677
Bahamas,25.025885,-78.035889,21580,590
Bahrain,26.0275,50.55,275734,1390
Bangladesh,23.685,90.3563,1562958,27699
Barbados,13.1939,-59.5432,11132,98
Belarus,53.7098,27.9534,559715,4304
Belgium,51.2195,4.4024,166365,0
Belgium,50.8503,4.3517,171570,0
Belgium,51.0362,3.7373,142195,0
Belgium,50.9167,4.5833,101834,0
Belgium,50.5257,4.0621,175673,0
Belgium,50.4496,5.8492,153609,0
Belgium,50.9739,5.3420000000000005,70329,0
Belgium,50.0547,5.4677,35225,0
Belgium,50.331,4.8221,65108,0
Belgium,,,24989,25695
Belgium,50.4,4.35,49193,0
Belgium,51.0536,3.1458,110472,0
Belize,17.1899,-88.4976,22187,427
Benin,9.3077,2.3158,24335,159
Bhutan,27.5142,90.4336,2613,3
Bolivia,-16.2902,-63.5887,504121,18803
Bosnia and Herzegovina,43.9159,17.6791,241227,10965
Botswana,-22.3285,24.6849,181251,2381
Brazil,-9.0238,-70.812,87944,1840
Brazil,-9.5713,-36.782,238918,6244
Brazil,0.902,-52.003,123104,1986
Brazil,-3.4168,-65.8561,426946,13747
Brazil,-12.5797,-41.7007,1237779,26925
Brazil,-5.4984,-39.3206,941602,24310
Brazil,-15.7998,-47.8645,507407,10621
Brazil,-19.1834,-40.3089,595089,12674
Brazil,-15.827,-49.8362,880471,23794
Brazil,-4.9609,-45.2744,357961,10201
Brazil,-12.6819,-56.9211,537240,13604
Brazil,-20.7722,-54.7852,374495,9600
Brazil,-18.5122,-44.555,2159712,55006
Brazil,-1.9981,-54.9306,593612,16691
Brazil,-7.24,-36.782,443181,9351
Brazil,-25.2521,-52.0215,1528963,39562
Brazil,-8.8137,-36.9541,624349,19850
Brazil,-7.7183,-42.7289,321611,7038
Brazil,-5.4026,-36.9541,369859,7350
Brazil,-30.0346,-51.2177,1448779,35049
Brazil,-22.9068,-43.1729,1301362,67188
Brazil,-11.5057,-63.5806,266780,6544
Brazil,-2.7376,-62.0751,126273,2006
Brazil,-27.2423,-50.2189,1201201,19412
Brazil,-23.5505,-46.6333,4383780,150789
Brazil,-10.5741,-37.3857,278242,6018
Brazil,-10.1753,-48.2982,226078,3813
Brunei,4.5353,114.7277,9167,64
Bulgaria,42.7339,25.4858,524333,21813
Burkina Faso,12.2383,-1.5616,14516,195
Burma,21.9162,95.956,479848,18162
